Nazaré,444,2229,1556585,portugal,Registado,triplo,RO,2022-07-29,2022-09-03,2022-09-04,1,2,2,1,2,140.0,36,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,77,0,No,null
Conceição de Tavira,445,2140,1557573,frança,Registado,deluxe room,BAR,2022-07-30,2022-08-15,2022-08-17,2,2,2,0,2,570.0,16,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,15,0,No,null
Portimão,482,2285,1562281,portugal,Registado,t1,Website,2022-08-05,2022-09-22,2022-09-25,3,2,2,0,2,228.0,48,4,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,143,0,No,null
Porto,358,1767,1572254,estados unidos,Registado,suite,BAR,2022-08-20,2022-08-28,2022-08-29,1,2,2,0,2,228.0,8,2,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,4,No,null
Nazaré,444,2074,1578457,estados unidos,Registado,duplo,RO,2022-08-29,2022-09-24,2022-09-26,2,2,2,0,2,260.0,26,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,77,0,No,null
Charneca de Caparica,514,2492,1581593,espanha,Cancelado,garden room,NRF,2022-09-03,2022-09-10,2022-09-16,6,2,2,0,2,792.0,7,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,13,0,No,null
Maia,311,1407,1582828,brasil,NãoRegistado,duplo,BB,2022-09-05,2022-10-07,2022-10-08,1,2,2,0,2,102.9,32,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,30,0,No,null
Funchal,238,935,1584647,alemanha,Registado,standard room,Ofertas_Especiais,2022-09-07,2022-09-10,2022-09-11,1,2,2,0,2,102.0,3,3,10,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,52,2,No,null
Covilhã,556,2831,1587679,portugal,Pendente,duplo,Website,2022-09-12,2022-09-15,2022-09-18,3,2,2,0,2,182.4,3,3,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,84,0,No,null
Covilhã,556,2832,1589659,portugal,Pendente,twin,Website,2022-09-15,2022-09-16,2022-09-21,5,2,2,0,2,290.4,1,2,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,84,0,No,null
